race_no,date,race,location,nation
1,17 Mar 2019,Australian Grand Prix,ALBERT PARK,AUS
2,31 Mar 2019,Bahrain Grand Prix,BAHRAIN,BHR
3,14 Apr 2019,Chinese Grand Prix,SHANGHAI INTERNATIONAL,CHN
4,28 Apr 2019,Azerbaijan Grand Prix,BAKU,AZE
5,12 May 2019,Spanish Grand Prix,CATALUNYA,ESP
6,26 May 2019,Monaco Grand Prix,MONACO,MCO
7,09 Jun 2019,Canadian Grand Prix,MONTREAL GILLES VILLENEUVE,CAN
8,23 Jun 2019,French Grand Prix,PAUL RICARD,FRA
9,30 Jun 2019,Austrian Grand Prix,RED BULL RING - SPIELBERG,AUT
10,14 Jul 2019,British Grand Prix,SILVERSTONE GRAND PRIX,GBR
11,28 Jul 2019,German Grand Prix,HOCKENHEIM GRAND PRIX,DEU
12,04 Aug 2019,Hungarian Grand Prix,HUNGARORING,HUN
13,01 Sep 2019,Belgian Grand Prix,SPA-FRANCORCHAMPS,BEL
14,08 Sep 2019,Italian Grand Prix,MONZA,ITA
15,22 Sep 2019,Singapore Grand Prix,SINGAPORE - MARINA BAY,SGP
16,29 Sep 2019,Russian Grand Prix,SOCHI,RUS
17,13 Oct 2019,Japanese Grand Prix,SUZUKA,JPN
18,27 Oct 2019,Mexican Grand Prix,Hermanos Rodríguez,MEX
19,03 Nov 2019,United States Grand Prix,AUSTIN,USA
20,17 Nov 2019,Brazilian Grand Prix,INTERLAGOS,BRA
21,01 Dec 2019,Abu Dhabi Grand Prix,ABU DHABI - YAS MARINA,ARE
