lap_no,position,car_no,lap_time,lap_time_sec,gap
1,1,77,1:33.813,93.813,
1,2,44,1:34.887,94.887,1.074
1,3,5,1:35.626,95.626,1.813
1,4,33,1:36.291,96.291,2.478
1,5,16,1:37.042,97.042,3.229
1,6,20,1:38.243,98.243,4.430
1,7,8,1:39.116,99.116,5.303
1,8,27,1:39.692,99.692,5.879
1,9,7,1:40.507,100.507,6.694
1,10,4,1:41.117,101.117,7.304
1,11,23,1:41.759,101.759,7.946
1,12,11,1:42.296,102.296,8.483
1,13,18,1:42.777,102.777,8.964
1,14,55,1:43.203,103.203,9.390
1,15,26,1:43.893,103.893,10.080
1,16,99,1:44.675,104.675,10.862
1,17,10,1:45.008,105.008,11.195
1,18,63,1:46.033,106.033,12.220
1,19,88,2:26.128,146.128,PIT
1,20,3,2:28.213,148.213,PIT
2,1,77,1:29.662,89.662,
2,2,44,1:29.759,89.759,1.171
2,3,5,1:30.095,90.095,2.246
2,4,33,1:30.053,90.053,2.869
2,5,16,1:30.636,90.636,4.203
2,6,20,1:30.912,90.912,5.680
2,7,8,1:31.050,91.05,6.691
2,8,27,1:31.205,91.205,7.422
2,9,7,1:31.184,91.184,8.216
2,10,4,1:31.414,91.414,9.056
2,11,23,1:31.716,91.716,10.000
2,12,11,1:31.970,91.97,10.791
2,13,18,1:32.014,92.014,11.316
2,14,55,1:32.340,92.34,12.068
2,15,26,1:32.335,92.335,12.753
2,16,10,1:31.585,91.585,13.118
2,17,99,1:33.661,93.661,14.861
2,18,63,1:33.355,93.355,15.913
2,19,88,1:39.740,99.74,62.393
2,20,3,1:38.185,98.185,62.923
3,1,77,1:29.246,89.246,
3,2,44,1:29.332,89.332,1.257
3,3,5,1:29.371,89.371,2.371
3,4,33,1:29.370,89.37,2.993
3,5,16,1:30.033,90.033,4.990
3,6,20,1:30.713,90.713,7.147
3,7,8,1:30.730,90.73,8.175
3,8,27,1:30.699,90.699,8.875
3,9,7,1:30.928,90.928,9.898
3,10,4,1:31.043,91.043,10.853
3,11,23,1:31.357,91.357,12.111
3,12,11,1:31.356,91.356,12.901
3,13,18,1:31.558,91.558,13.628
3,14,55,1:31.467,91.467,14.289
3,15,26,1:31.493,91.493,15.000
3,16,10,1:31.406,91.406,15.278
3,17,99,1:32.742,92.742,18.357
3,18,63,1:32.781,92.781,19.448
3,19,88,1:32.317,92.317,65.464
3,20,3,1:32.091,92.091,65.768
4,1,77,1:28.641,88.641,
4,2,44,1:28.804,88.804,1.420
4,3,5,1:29.124,89.124,2.854
4,4,33,1:29.301,89.301,3.653
4,5,16,1:29.387,89.387,5.736
4,6,20,1:30.379,90.379,8.885
4,7,8,1:30.707,90.707,10.241
4,8,27,1:30.687,90.687,10.921
4,9,7,1:30.596,90.596,11.853
4,10,4,1:31.190,91.19,13.402
4,11,23,1:31.421,91.421,14.891
4,12,11,1:31.743,91.743,16.003
4,13,18,1:31.612,91.612,16.599
4,14,55,1:31.696,91.696,17.344
4,15,26,1:31.654,91.654,18.013
4,16,10,1:32.361,92.361,18.998
4,17,99,1:32.091,92.091,21.807
4,18,63,1:32.743,92.743,23.550
4,19,3,1:30.480,90.48,67.607
4,20,88,1:33.683,93.683,70.506
5,1,77,1:28.759,88.759,
5,2,44,1:28.914,88.914,1.575
5,3,5,1:29.310,89.31,3.405
5,4,33,1:29.723,89.723,4.617
5,5,16,1:29.579,89.579,6.556
5,6,20,1:30.166,90.166,10.292
5,7,8,1:30.391,90.391,11.873
5,8,27,1:30.655,90.655,12.817
5,9,7,1:30.765,90.765,13.859
5,10,4,1:31.060,91.06,15.703
5,11,23,1:30.884,90.884,17.016
5,12,11,1:31.400,91.4,18.644
5,13,18,1:31.545,91.545,19.385
5,14,55,1:31.698,91.698,20.283
5,15,26,1:31.726,91.726,20.980
5,16,10,1:31.171,91.171,21.410
5,17,99,1:31.988,91.988,25.036
5,18,63,1:32.944,92.944,27.735
5,19,3,1:30.631,90.631,69.479
5,20,88,1:33.218,93.218,74.965
6,1,77,1:29.034,89.034,
6,2,44,1:29.475,89.475,2.016
6,3,5,1:29.666,89.666,4.037
6,4,33,1:29.744,89.744,5.327
6,5,16,1:30.124,90.124,7.646
6,6,20,1:30.619,90.619,11.877
6,7,8,1:30.413,90.413,13.252
6,8,27,1:30.441,90.441,14.224
6,9,7,1:30.882,90.882,15.707
6,10,4,1:31.390,91.39,18.059
6,11,23,1:31.474,91.474,19.456
6,12,11,1:31.175,91.175,20.785
6,13,18,1:31.104,91.104,21.455
6,14,55,1:31.054,91.054,22.303
6,15,26,1:31.192,91.192,23.138
6,16,10,1:31.020,91.02,23.396
6,17,99,1:31.639,91.639,27.641
6,18,63,1:32.537,92.537,31.238
6,19,3,1:30.380,90.38,70.825
6,20,88,1:32.625,92.625,78.556
7,1,77,1:28.783,88.783,
7,2,44,1:29.150,89.15,2.383
7,3,5,1:29.418,89.418,4.672
7,4,33,1:29.516,89.516,6.060
7,5,16,1:30.006,90.006,8.869
7,6,20,1:30.384,90.384,13.478
7,7,8,1:30.471,90.471,14.940
7,8,27,1:30.923,90.923,16.364
7,9,7,1:30.843,90.843,17.767
7,10,4,1:30.879,90.879,20.155
7,11,23,1:31.075,91.075,21.748
7,12,11,1:31.143,91.143,23.145
7,13,18,1:31.301,91.301,23.973
7,14,55,1:31.317,91.317,24.837
7,15,26,1:31.168,91.168,25.523
7,16,10,1:31.165,91.165,25.778
7,17,99,1:31.344,91.344,30.202
7,18,63,1:32.251,92.251,34.706
7,19,3,1:30.092,90.092,72.134
7,20,88,1:32.622,92.622,82.395
8,1,77,1:28.651,88.651,
8,2,44,1:29.208,89.208,2.940
8,3,5,1:29.557,89.557,5.578
8,4,33,1:29.453,89.453,6.862
8,5,16,1:29.708,89.708,9.926
8,6,20,1:30.266,90.266,15.093
8,7,8,1:30.340,90.34,16.629
8,8,27,1:30.475,90.475,18.188
8,9,7,1:30.953,90.953,20.069
8,10,4,1:30.650,90.65,22.154
8,11,23,1:30.875,90.875,23.972
8,12,11,1:31.075,91.075,25.569
8,13,18,1:31.318,91.318,26.640
8,14,55,1:31.259,91.259,27.445
8,15,26,1:31.277,91.277,28.149
8,16,10,1:31.434,91.434,28.561
8,17,99,1:31.159,91.159,32.710
8,18,63,1:32.579,92.579,38.634
8,19,3,1:30.352,90.352,73.835
8,20,88,1:32.346,92.346,86.090
9,1,77,1:28.664,88.664,
9,2,44,1:29.170,89.17,3.446
9,3,5,1:29.282,89.282,6.196
9,4,33,1:29.363,89.363,7.561
9,5,16,1:32.630,92.63,13.892
9,6,20,1:31.075,91.075,17.504
9,7,8,1:31.024,91.024,18.989
9,8,27,1:30.789,90.789,20.313
9,9,7,1:30.722,90.722,22.127
9,10,4,1:30.664,90.664,24.154
9,11,23,1:30.915,90.915,26.223
9,12,11,1:31.058,91.058,27.963
9,13,18,1:31.113,91.113,29.089
9,14,55,1:30.899,90.899,29.680
9,15,26,1:31.119,91.119,30.604
9,16,10,1:31.161,91.161,31.058
9,17,99,1:31.049,91.049,35.095
