lap_no,position,driver_no,lap_time,lap_time_sec,gap
1,1,77,1:34.571,94.571,
1,2,5,1:35.943,95.943,1.372
1,3,16,1:37.570,97.57,2.999
1,4,44,1:37.881,97.881,3.310
1,5,55,1:39.200,99.2,4.629
1,6,4,1:40.013,100.013,5.442
1,7,23,1:40.558,100.558,5.987
1,8,10,1:41.359,101.359,6.788
1,9,18,1:41.898,101.898,7.327
1,10,27,1:42.139,102.139,7.568
1,11,11,1:42.821,102.821,8.250
1,12,99,1:43.548,103.548,8.977
1,13,20,1:44.206,104.206,9.635
1,14,8,1:44.665,104.665,10.094
1,15,7,1:45.158,105.158,10.587
1,16,3,1:45.391,105.391,10.820
1,17,26,1:45.922,105.922,11.351
1,18,33,1:46.658,106.658,12.087
1,19,63,1:47.714,107.714,13.143
1,20,88,1:49.502,109.502,14.931
2,1,77,1:34.600,94.6,
2,2,5,1:34.549,94.549,1.321
2,3,16,1:35.314,95.314,3.713
2,4,44,1:35.402,95.402,4.112
2,5,55,1:36.089,96.089,6.118
2,6,4,1:36.708,96.708,7.550
2,7,23,1:36.527,96.527,7.914
2,8,10,1:37.074,97.074,9.262
2,9,18,1:37.142,97.142,9.869
2,10,27,1:37.446,97.446,10.414
2,11,11,1:37.455,97.455,11.105
2,12,99,1:37.631,97.631,12.008
2,13,20,1:37.920,97.92,12.955
2,14,8,1:37.986,97.986,13.480
2,15,7,1:38.163,98.163,14.150
2,16,3,1:38.216,98.216,14.436
2,17,26,1:38.223,98.223,14.974
2,18,33,1:38.122,98.122,15.609
2,19,63,1:38.422,98.422,16.965
2,20,88,1:39.314,99.314,19.645
3,1,77,1:34.195,94.195,
3,2,5,1:34.565,94.565,1.691
3,3,44,1:34.890,94.89,4.807
3,4,16,1:36.624,96.624,PIT
3,5,55,1:36.075,96.075,7.998
3,6,4,1:36.235,96.235,9.590
3,7,23,1:36.384,96.384,10.103
3,8,10,1:36.681,96.681,11.748
3,9,18,1:36.700,96.7,12.374
3,10,27,1:36.985,96.985,13.204
3,11,11,1:37.096,97.096,14.006
3,12,99,1:37.357,97.357,15.170
3,13,20,1:37.315,97.315,16.075
3,14,8,1:37.416,97.416,16.701
3,15,7,1:37.895,97.895,17.850
3,16,3,1:37.625,97.625,17.866
3,17,26,1:37.498,97.498,18.277
3,18,33,1:37.608,97.608,19.022
3,19,63,1:37.739,97.739,20.509
3,20,88,1:38.884,98.884,24.334
4,1,77,1:34.496,94.496,
4,2,5,1:34.646,94.646,1.841
4,3,44,1:34.565,94.565,4.876
4,4,55,1:35.988,95.988,9.490
4,5,23,1:36.353,96.353,11.960
4,6,10,1:36.413,96.413,13.665
4,7,18,1:36.597,96.597,14.475
4,8,4,1:39.822,99.822,PIT
4,9,27,1:36.748,96.748,15.456
4,10,11,1:36.568,96.568,16.078
4,11,99,1:37.012,97.012,17.686
4,12,20,1:37.217,97.217,18.796
4,13,8,1:37.732,97.732,19.937
4,14,3,1:36.741,96.741,20.111
4,15,7,1:37.890,97.89,21.244
4,16,26,1:37.785,97.785,21.566
4,17,33,1:38.075,98.075,22.601
4,18,63,1:38.117,98.117,24.130
4,19,88,1:38.735,98.735,28.573
4,20,16,2:01.142,121.142,32.788
5,1,77,1:34.384,94.384,
5,2,5,1:34.456,94.456,1.913
5,3,44,1:34.622,94.622,5.114
5,4,55,1:35.933,95.933,11.039
5,5,23,1:35.228,95.228,12.804
5,6,10,1:36.320,96.32,15.601
5,7,18,1:36.406,96.406,16.497
5,8,27,1:36.494,96.494,17.566
5,9,11,1:36.947,96.947,18.641
5,10,99,1:37.188,97.188,20.490
5,11,20,1:37.143,97.143,21.555
5,12,3,1:36.183,96.183,21.910
5,13,8,1:38.188,98.188,23.741
5,14,7,1:37.492,97.492,24.352
5,15,26,1:37.565,97.565,24.747
5,16,33,1:37.396,97.396,25.613
5,17,63,1:37.568,97.568,27.314
5,18,16,1:34.170,94.17,32.574
5,19,88,1:39.209,99.209,33.398
5,20,4,1:56.571,116.571,37.103
6,1,77,1:34.344,94.344,
6,2,5,1:34.920,94.92,2.489
6,3,44,1:34.464,94.464,5.234
6,4,55,1:35.855,95.855,12.550
6,5,23,1:35.372,95.372,13.832
6,6,10,1:35.913,95.913,17.170
6,7,18,1:36.043,96.043,18.196
6,8,27,1:36.316,96.316,19.538
6,9,11,1:36.530,96.53,20.827
6,10,99,1:37.152,97.152,23.298
6,11,3,1:36.123,96.123,23.689
6,12,20,1:38.286,98.286,25.497
6,13,8,1:37.332,97.332,26.729
6,14,7,1:37.520,97.52,27.528
6,15,26,1:37.659,97.659,28.062
6,16,33,1:37.461,97.461,28.730
6,17,63,1:38.082,98.082,31.052
6,18,16,1:34.705,94.705,32.935
6,19,88,1:39.326,99.326,38.380
6,20,4,1:35.655,95.655,38.414
7,1,77,1:34.669,94.669,
7,2,5,1:34.823,94.823,2.643
7,3,44,1:34.630,94.63,5.195
7,4,55,1:35.597,95.597,13.478
7,5,23,1:35.324,95.324,14.487
7,6,10,1:36.111,96.111,18.612
7,7,18,1:36.135,96.135,19.662
7,8,27,1:36.172,96.172,21.041
7,9,11,1:36.193,96.193,22.351
7,10,3,1:35.567,95.567,24.587
7,11,99,1:38.427,98.427,27.056
7,12,20,1:37.436,97.436,28.264
7,13,8,1:37.116,97.116,29.176
7,14,7,1:37.261,97.261,30.120
7,15,26,1:37.013,97.013,30.406
7,16,33,1:37.378,97.378,31.439
7,17,16,1:35.658,95.658,33.924
7,18,63,1:38.802,98.802,35.185
7,19,4,1:34.748,94.748,38.493
7,20,88,1:40.013,100.013,43.724
8,1,77,1:34.935,94.935,
8,2,5,1:34.899,94.899,2.607
8,3,44,1:34.667,94.667,4.927
8,4,55,1:35.962,95.962,14.505
8,5,23,1:35.758,95.758,15.310
8,6,10,1:36.275,96.275,19.952
8,7,18,1:36.381,96.381,21.108
8,8,27,1:36.261,96.261,22.367
8,9,11,1:36.296,96.296,23.712
8,10,3,1:36.083,96.083,25.735
8,11,99,1:37.115,97.115,29.236
8,12,20,1:37.244,97.244,30.573
8,13,8,1:37.315,97.315,31.556
8,14,7,1:37.223,97.223,32.408
8,15,26,1:37.393,97.393,32.864
8,16,33,1:37.789,97.789,34.293
8,17,16,1:35.647,95.647,34.636
8,18,63,1:37.938,97.938,38.188
8,19,4,1:35.780,95.78,39.338
8,20,88,1:39.422,99.422,48.211
9,1,77,1:34.652,94.652,
9,2,5,1:34.701,94.701,2.656
9,3,44,1:34.635,94.635,4.910
9,4,55,1:35.879,95.879,15.732
9,5,23,1:35.968,95.968,16.626
9,6,10,1:36.406,96.406,21.706
9,7,18,1:36.415,96.415,22.871
9,8,27,1:36.421,96.421,24.136
9,9,11,1:36.123,96.123,25.183
9,10,3,1:36.034,96.034,27.117
9,11,99,1:36.853,96.853,31.437
9,12,20,1:37.202,97.202,33.123
9,13,8,1:37.149,97.149,34.053
9,14,7,1:37.329,97.329,35.085
9,15,26,1:37.248,97.248,35.460
9,16,16,1:35.977,95.977,35.961
9,17,33,1:37.922,97.922,37.563
9,18,63,1:38.335,98.335,41.871
9,19,4,1:37.543,97.543,42.229
9,20,88,1:39.057,99.057,52.616
10,1,77,1:34.687,94.687,
10,2,5,1:35.082,95.082,3.051
10,3,44,1:34.856,94.856,5.079
10,4,55,1:36.094,96.094,17.139
10,5,23,1:36.053,96.053,17.992
10,6,10,1:36.225,96.225,23.244
10,7,18,1:36.239,96.239,24.423
10,8,27,1:36.392,96.392,25.841
10,9,11,1:36.401,96.401,26.897
10,10,3,1:36.061,96.061,28.491
10,11,99,1:37.085,97.085,33.835
10,12,20,1:37.318,97.318,35.754
10,13,8,1:37.333,97.333,36.699
10,14,7,1:37.099,97.099,37.497
10,15,26,1:37.359,97.359,38.132
10,16,16,1:37.379,97.379,38.653
10,17,33,1:37.249,97.249,40.125
10,18,4,1:35.801,95.801,43.343
10,19,63,1:38.982,98.982,46.166
10,20,88,1:39.224,99.224,57.153
11,1,77,1:34.649,94.649,
11,2,5,1:35.127,95.127,3.529
11,3,44,1:35.121,95.121,5.551
11,4,55,1:36.037,96.037,18.527
11,5,23,1:36.138,96.138,19.481
11,6,10,1:36.513,96.513,25.108
11,7,18,1:36.456,96.456,26.230
11,8,27,1:36.398,96.398,27.590
11,9,11,1:36.657,96.657,28.905
11,10,3,1:36.165,96.165,30.007
11,11,99,1:36.872,96.872,36.058
11,12,20,1:36.991,96.991,38.096
11,13,8,1:37.555,97.555,39.605
11,14,7,1:37.357,97.357,40.205
11,15,16,1:36.921,96.921,40.925
11,16,26,1:38.089,98.089,41.572
11,17,33,1:37.318,97.318,42.794
11,18,4,1:36.151,96.151,44.845
11,19,63,1:38.220,98.22,49.737
11,20,88,1:39.391,99.391,61.895
12,1,77,1:34.551,94.551,
12,2,5,1:35.059,95.059,4.037
12,3,44,1:34.762,94.762,5.762
12,4,55,1:36.063,96.063,20.039
12,5,23,1:36.090,96.09,21.020
12,6,10,1:36.373,96.373,26.930
12,7,18,1:36.464,96.464,28.143
12,8,27,1:36.814,96.814,29.853
12,9,11,1:36.755,96.755,31.109
12,10,3,1:36.548,96.548,32.004
12,11,99,1:37.309,97.309,38.816
12,12,20,1:37.333,97.333,40.878
12,13,8,1:37.274,97.274,42.328
12,14,7,1:37.267,97.267,42.921
12,15,16,1:36.978,96.978,43.352
12,16,26,1:37.436,97.436,44.457
12,17,33,1:37.371,97.371,45.614
12,18,4,1:36.641,96.641,46.935
12,19,63,1:38.287,98.287,53.473
12,20,88,1:39.513,99.513,66.857
13,1,77,1:34.608,94.608,
13,2,5,1:35.190,95.19,4.619
13,3,44,1:35.070,95.07,6.224
13,4,55,1:35.888,95.888,21.319
13,5,23,1:36.348,96.348,22.760
13,6,10,1:36.532,96.532,28.854
13,7,18,1:36.473,96.473,30.008
13,8,27,1:36.319,96.319,31.564
13,9,11,1:36.533,96.533,33.034
13,10,3,1:36.459,96.459,33.855
13,11,99,1:37.221,97.221,41.429
13,12,20,1:37.490,97.49,43.760
13,13,8,1:37.300,97.3,45.020
13,14,16,1:36.975,96.975,45.719
13,15,7,1:37.907,97.907,46.220
13,16,26,1:37.217,97.217,47.066
13,17,33,1:37.724,97.724,48.730
13,18,4,1:37.103,97.103,49.430
13,19,63,1:38.477,98.477,57.342
13,20,88,1:39.082,99.082,71.331
14,1,77,1:34.408,94.408,
14,2,5,1:35.518,95.518,5.729
14,3,44,1:34.938,94.938,6.754
14,4,55,1:36.199,96.199,23.110
14,5,23,1:36.322,96.322,24.674
14,6,10,1:36.394,96.394,30.840
14,7,18,1:36.469,96.469,32.069
14,8,27,1:36.298,96.298,33.454
14,9,11,1:36.631,96.631,35.257
14,10,3,1:36.236,96.236,35.683
14,11,99,1:36.962,96.962,43.983
14,12,20,1:37.199,97.199,46.551
14,13,16,1:36.009,96.009,47.320
14,14,8,1:37.962,97.962,48.574
14,15,26,1:36.894,96.894,49.552
14,16,7,1:38.491,98.491,50.303
14,17,4,1:37.578,97.578,52.600
14,18,33,1:39.949,99.949,PIT
14,19,63,1:38.527,98.527,61.461
14,20,88,1:38.812,98.812,75.735
15,1,77,1:34.546,94.546,
15,2,5,1:35.509,95.509,6.692
15,3,44,1:35.262,95.262,7.470
15,4,55,1:36.124,96.124,24.688
15,5,23,1:38.401,98.401,PIT
15,6,10,1:36.753,96.753,33.047
15,7,18,1:36.824,96.824,34.347
15,8,27,1:36.702,96.702,35.610
15,9,3,1:36.168,96.168,37.305
15,10,11,1:37.809,97.809,38.520
15,11,99,1:37.155,97.155,46.592
15,12,16,1:36.718,96.718,49.492
15,13,20,1:38.582,98.582,50.587
15,14,8,1:37.565,97.565,51.593
15,15,26,1:36.909,96.909,51.915
15,16,4,1:36.068,96.068,54.122
15,17,7,1:40.313,100.313,PIT
15,18,63,1:38.185,98.185,65.100
15,19,88,1:38.712,98.712,79.901
16,1,77,1:34.698,94.698,
16,2,44,1:35.597,95.597,8.369
16,3,5,1:38.208,98.208,PIT
16,4,55,1:36.298,96.298,26.288
16,5,10,1:36.807,96.807,35.156
16,6,18,1:36.599,96.599,36.248
16,7,27,1:36.525,96.525,37.437
16,8,3,1:36.544,96.544,39.151
16,9,11,1:36.513,96.513,40.335
16,10,23,1:53.192,113.192,47.023
16,11,99,1:37.992,97.992,49.886
16,12,16,1:35.812,95.812,50.606
16,13,20,1:37.700,97.7,53.589
16,14,26,1:36.737,96.737,53.954
16,15,4,1:36.842,96.842,56.266
16,16,8,1:41.398,101.398,PIT
16,17,63,1:38.175,98.175,68.577
16,18,7,1:57.010,117.01,78.382
16,19,88,1:39.329,99.329,84.532
17,1,77,1:36.449,96.449,PIT
17,2,44,1:34.707,94.707,6.627
17,3,55,1:36.132,96.132,25.971
17,4,5,1:53.529,113.529,27.282
17,5,10,1:36.873,96.873,35.580
17,6,18,1:36.947,96.947,36.746
17,7,27,1:36.704,96.704,37.692
17,8,3,1:36.536,96.536,39.238
17,9,11,1:36.792,96.792,40.678
17,10,23,1:33.959,93.959,44.533
17,11,99,1:37.412,97.412,50.849
17,12,16,1:37.155,97.155,51.312
17,13,26,1:35.923,95.923,53.428
17,14,4,1:36.560,96.56,56.377
17,15,20,1:40.843,100.843,PIT
17,16,63,1:37.752,97.752,69.880
17,17,8,1:54.853,114.853,76.697
17,18,7,1:36.070,96.07,78.003
17,19,88,1:38.953,98.953,87.036
18,1,44,1:34.908,94.908,
18,2,77,1:51.522,111.522,9.987
18,3,5,1:34.110,94.11,19.857
18,4,55,1:37.100,97.1,21.536
18,5,27,1:37.024,97.024,33.181
18,6,10,1:39.231,99.231,PIT
18,7,3,1:36.807,96.807,34.510
18,8,18,1:39.403,99.403,PIT
18,9,11,1:36.785,96.785,35.928
18,10,23,1:34.437,94.437,37.435
18,11,16,1:35.660,95.66,45.437
18,12,26,1:36.519,96.519,48.412
18,13,99,1:40.740,100.74,PIT
18,14,4,1:36.083,96.083,50.925
18,15,63,1:37.437,97.437,65.782
18,16,8,1:34.988,94.988,70.150
18,17,7,1:36.031,96.031,72.499
18,18,20,1:56.677,116.677,73.125
18,19,88,1:39.205,99.205,84.706
19,1,44,1:35.223,95.223,
19,2,77,1:32.137,92.137,6.901
19,3,5,1:33.141,93.141,17.775
19,4,55,1:36.461,96.461,22.774
19,5,3,1:36.331,96.331,35.618
19,6,27,1:38.582,98.582,PIT
19,7,23,1:34.817,94.817,37.029
19,8,11,1:39.894,99.894,PIT
19,9,16,1:35.276,95.276,45.490
19,10,26,1:36.226,96.226,49.415
19,11,4,1:36.111,96.111,51.813
19,12,10,1:55.704,115.704,53.757
19,13,18,1:55.171,115.171,54.562
19,14,63,1:37.396,97.396,67.955
19,15,8,1:35.547,95.547,70.474
19,16,99,1:57.415,117.415,72.246
19,17,7,1:36.215,96.215,73.491
19,18,20,1:36.402,96.402,74.304
